"earth" "location" "REALM" "BIOME_NAME" "ECO_NAME" "initial_agricultural_tech_level_in_use" "initial_healthcare_tech_level_in_use" "initial_housing_tech_level_in_use" "initial_transportation_tech_level_in_use" "initial_unaided_d_max_pop_density" "initial_unaided_not_dt_max_pop_density" "initial_unaided_t_max_pop_density" "initial_warfare_tech_level_in_use" "relevance_of_dist_based_on_transportation_tech_level" "initial_ proportion_not_desert" "initial_pop_density_of_desert" "initial_pop_density_of_tundra" "initial_pop_density_ratio" "initial_transition_probability_to_desert"
1 0 "Afrotropic" "Deserts & Xeric Shrublands" "Aldabra Island xeric scrub" 0.126710341015072 0.0256497364983143 0.00381482871869235 0.228069580194573 0.22121591571063 9.34871423966954 0.213750523128646 0.060993416566427 8.77072102617198 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 1 "Afrotropic" "Deserts & Xeric Shrublands" "Djibouti xeric shrublands" 0.34604 0.054555 0.064225 0.380625 0.0977975 9.597675 0.0573715 0.020765 -7.837 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 2 "Afrotropic" "Deserts & Xeric Shrublands" "Eritrean coastal desert" 0.13156 0.022495 0.010395 0.148425 0.0138715 2.716825 0.2614735 0.077325 -1.721 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 3 "Afrotropic" "Deserts & Xeric Shrublands" "Gariep Karoo" 0.13156 0.022495 0.010395 0.148425 0.0138715 2.716825 0.2614735 0.077325 -1.721 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 4 "Afrotropic" "Deserts & Xeric Shrublands" "Gariep Karoo" 0.13156 0.022495 0.010395 0.148425 0.0138715 2.716825 0.2614735 0.077325 -1.721 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 5 "Afrotropic" "Deserts & Xeric Shrublands" "Hobyo grasslands and shrublands" 0.52884 0.061985 0.242725 0.205075 0.2990575 1.963475 0.1992395 0.043175 5.515 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 6 "Afrotropic" "Deserts & Xeric Shrublands" "Ile Europa and Bassas da India xeric scrub" 0.4798 0.068155 0.094815 0.133425 0.0134365 4.749825 0.1352075 0.094765 9.057 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 7 "Afrotropic" "Deserts & Xeric Shrublands" "Kalahari xeric savanna" 0.469976257439151 0.0381797411647424 0.308628839818047 0.363475137133612 0.0956973783097466 8.66371133018116 0.0281678281244618 0.00330967443607435 -5.72103817045758 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 8 "Afrotropic" "Deserts & Xeric Shrublands" "Kalahari xeric savanna" 0.73532 0.012325 0.253085 0.019225 0.1159515 0.701875 0.0131175 0.046785 -9.879 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
1 9 "Afrotropic" "Deserts & Xeric Shrublands" "Kalahari xeric savanna" 0.444445096882115 0.0210413155552516 0.126593445886236 0.400709920361874 0.0199353791428779 2.47636874668811 0.022339901623408 0.0289583435025959 7.21108463519648 0.796054549237499 0.3 0.165705089524733 62.4162049928453 0.0022325486817456
